"questions","answers"
"What eye protection Can I wear?","Types of eye protection include:</br>Nonprescription and prescription safety glasses.Safety glasses may look like normal dress eyewear, they are designed to provide significantly more eye protection.</br>Safety glasses provide eye protection for general working conditions where there may be dust, chips or flying particles. </br>Safety lenses are available in plastic, polycarbonate and other materials. While all four types must meet or exceed the minimum requirements for protecting your eyes, polycarbonate lenses provide the highest level of protection from impact.</br>Goggles provide protection from impact, dust and chemical splash.Safety goggles are highly impact-resistant  and can be worn over prescription glasses and contact lenses.</br>Full face shields protect workers exposed to chemicals, heat or blood-borne pathogens. Helmets are used for welding or working with molten materials.</br>Helmets or goggles with special filters to protect the eyes from optical radiation exposure."
"Who is an ophthalmologist?","An ophthalmologist is a medical doctor who specializes in eye and vision care.and are licensed to practice medicine and surgery."
"What is the difference between an ophthalmologist, orthoptist opticians andoptometrist?","An optometrist is not a medical doctor. They are licensed to practice optometry, which primarily involves performing eye exams and vision tests, prescribing and dispensing corrective lenses, detecting certain eye abnormalities Orthoptists are the experts in diagnosing and treating defects in eye movement and problems with how the eyes work together, called binocular vision. These can be caused by issues with the muscles around the eyes or defects in the nerves enabling the brain to communicate with the eyes. Opticians are technicians trained to design, verify and fit eyeglass lenses and frames, contact lenses, and other devices to correct eyesight. They use prescriptions supplied by ophthalmologists or optometrists"
"How often should I get my eyes checked","If you are 20-39 Years Old</br>you should get a complete eye exam every 2-4 years. </br></br>If you are 20-39 years of age you should get a complete eye exam every 3-5 years. </br></br>40-64 Years Old</br>If you are 40-64 years of age , you should get a complete eye exam every 2-4 years. </br></br>65 Years Old or Older</br>You should get a complete eye exam every 1-2 years.</br></br>People with special risks, such as diabetes, a previous eye trauma, surgery or a family history of glaucoma, may need an eye exam more frequently.</br></br>People with symptoms of eye trouble should see an eye doctor right away."
"How much will my eye exam cost?","The cost of eye exam differs from patient to patient and will depend on the complexity of your condition"
"I have hurt my eye. what should I do","Show a doctor immediately"
"What should I do if I have got chemical in my eye","Flush the eyes out with cool water for at least 15 minutes</br>As you rinse, use your fingers to hold your eye open as wide as possible and roll your eye to ensure the greatest coverage</br>Remove contact lenses, if applicable, if they do not come out during flushing </br>Go to emergency (if you can continue flushing the eye out) flush your eyes out until help arrives"
"What should I do if I feel I have something in my eye","If it feels like something is rubbing against your eyes when you blink it is called a foreign body sensation. Although it could be caused by a particle on the surface of the eyes, the two most common causes are dry eyes, or an inflammation in the eyelids called blepharitis. Other causes include conjunctivitis or other inflammatory conditions of the eye's surface that happen on the eyelids, eyelashes, conjunctiva, episclera, sclera, or cornea. The simplest way to treat this is with artificial tears.</br></br>Other initial treatments include warm compresses with a warm washcloth, or eyelid scrubs with cotton tip applicator and some baby shampoo in warm water.</br></br>Of course if you believe there is actually something in your eye like a foreign particle, then you should have a complete eye exam by an ophthalmologist.</br></br>Also, if your symptoms don't get better after trying these methods, then you should also see an ophthalmologist promptly."
"How much will an eye exam cost","The cost of eye exam differs from patient to patient and will depend on the complexity of your condition"
"How to prevent dry eye","Dry Eye Prevention Tips</br>Try not to use a hair dryer, if possible.</br>Stay away from very warm rooms. In the winter, add moisture to the air with a humidifier. Or put a pan of water near your heater or radiator.</br>Protect your eyes from drying wind by wearing wrap-around glasses outside.</br>Talk to your ophthalmologist about adding omega-3 fatty acids to your diet for dry eye relief. They are found naturally in oily fish (such as salmon, sardines, tuna, trout, and anchovies), and in flaxseeds. Omega-3 fatty acids can be added as a dietary supplement (pill or tablet).</br>Do you wake up with dry and scratchy eyes? Use artificial tear ointment or thick eye drops just before you go to bed."
"How can I prevent pinguecula and pterygium from coming back","The best way to keep pinguecula and pterygium from coming back is to avoid sunlight, dryness and dust."
"How can I reduce the chance of corneal opacity","Prevention</br>To help reduce your chance of corneal opacity:</br></br>Take care to avoid injuring the eye. Wear eye protection during any potentially dangerous activity. Make sure safety goggles are worn tight against the face, otherwise a foreign body can fly up under the goggles and injure the eye.</br>Take proper care of contact lenses. Follow your doctors recommendations regarding wear and cleaning them.</br>Keep your eyes from drying out by using saline eye drops.</br>See your doctor right away if you think you have an eye infection, if you injured your eye, or if you develop any pain or change in vision."
"What should I do if I have cataract","Cataract : Make a decision to get opearted sooner than later. Delays increase the risk of compliactions of Cataract Surgery. Recovery is....."
"What should I do if I have retinal detachment","Retinal detachment is a serious condition. You need repeated visits to the doctor and follow his advice."
"How to prevent vision loss from diabetic retinopathy","Preventing vision loss from diabetic retinopathy If you have diabetes, talk with your primary care doctor about controlling your blood sugar. High blood sugar damages retinal blood vessels. That causes vision loss. Do you have high blood pressure or kidney problems? Ask your doctor about ways to manage and treat these problems. See your ophthalmologist regularly for dilated eye exams. Diabetic retinopathy may be found before you even notice any vision problems. If you notice vision changes in one or both eyes, call your ophthalmologist right away. Get treatment for diabetic retinopathy as soon as possible. This is the best way to prevent vision loss."
"What diet should I take to prevent AMD","Eye-healthy foods</br>Dark leafy greens, yellow fruits and vegetables, fish, and a balanced, nutrient-rich diet have been shown beneficial for people with AMD. Age-related macular degeneration doesn't affect your side (peripheral) vision and usually doesn't cause total blindness. But it can reduce or eliminate your central vision â‚¬â€ which is necessary for driving, reading and recognizing people's faces. It may be beneficial for you to work with a low vision rehabilitation specialist, an occupational therapist, your eye doctor and others trained in low vision rehabilitation. They can help you find ways to adapt to your changing vision."
"What precautions should I take if I have Stye","Stye. Do not squeeze or try to pop a stye or chalazion</br>Doing so could spread the infection into your eyelid. Do not wear eye makeup or contact lenses while you have a stye or chalazion."
"What precautions should I take if I have Ectropion","Ectropion. Wipe your eyes carefully. Constantly wiping watery eyes can make your under-eye muscles and tendons stretch even further, worsening your ectropion. Wipe from the outer eye up and in toward the nose."
"How to relieve pain in Dacryocystitis","Dacryocystitis. To relieve pain and swelling from the infection, hold warm compresses to your eye a few times per day"
"what should I do if I have Endophthalmitis","Endophthalmitis is very rare, but if it occurs, its an urgent medical emergency."
"What should I do if my Uveitis symptoms are reappearing","Uveitis can come back. Make an appointment with your doctor if any of your symptoms reappear after successful treatment."
"How can Strabismus be diagnosed","Strabismus can be diagnosed during a routine eye exam. It is recommended that all children between 3 and 3Â½ years of age have their vision checked by an ophthalmologist.</br></br>If there is a family history of strabismus or amblyopia, or a family history of wearing thick eyeglasses, an ophthalmologist should check vision even earlier than age 3. After a complete eye examination, an ophthalmologist can recommend appropriate treatment."
"How do multifocal cataract lenses work?","With bifocal eyeglasses, you look through the top part of the lens for distance, and through the bottom area of the lens for near. The multifocal lens implant is a specially engineered optic, which provides both, a distance focus, and a near focus. The human brain automatically selects the focus that is appropriate for the task at hand."
"Will multifocal lens eliminate the need for glasses?","For most of the patients, multifocal lens implants will not completely eliminate eyeglasses. There may be situations where the print or the images are too small or too far away to see without the help of glasses."
"Do multifocal lenses eliminate the need for glasses?","For most of the patients, multifocal lens implants will not completely eliminate eyeglasses. There may be situations where the print or the images are too small or too far away to see without the help of glasses."
"Will I see halos?","Depending upon the size of your pupils, you may see linear halos at night, which appear as thin circles within a light source. These halos are different from, and much less problematic than those caused by cataracts. "
"Can multifocal cataract lenses be implanted in just one eye?","Yes, it is possible to implant multifocal cataract lens in just one eye if the other eye already has a standard implant, or if cataract is not present in the other eye."
"Can the multifocal cataract lens be removed if I don't like it?","Yes, it is possible to remove multifocal cataract lens with surgery."
"Can the multifocal cataract lens be removed","Yes, it is possible to remove multifocal cataract lens with surgery."
"Does insurance cover the premium cost to upgrade to multifocal?","Usually, health insurance does not cover the cost to upgrade to multifocal lens. You can always check with your insurance provider to be sure."
"Can I have multifocal cataract lens implants without cataracts?","Yes, patients over the age of 50 years can choose multifocal cataract lens implants to eliminate the need of glasses for both near and far sight. Multifocal cataract lens implants also eliminate the risk of developing cataract at a later age."
"Might I need a LASIK enhancement after a multifocal implant?","The need for LASIK differs from patient to patient and also depends on how much better one wants to see without glasses."
"What type of lens are recommended after cataract surgery","The decision about the type of artificial lens implant to have will have an effect the ability to see without glasses following cataract surgery. With both standard and multifocal lens implants, most people will see reasonably well in the distance without any glasses. Multifocal lens implants generally provides the added ability to read many things without glasses. Please consult your doctor for the recommendation of best suited lens for you."
"Redness in eye","Redness in eye can be caused due to infection, allergies, inflammations like conjunctivitis, iritis, scleritis etc or due to simple dryness."
"Red Eye","Redness in eye can be caused due to infection, allergies, inflammations like conjunctivitis, iritis, scleritis etc or due to simple dryness."
"minus refractive error","This is known as myopia. It can be treated with glasses, contact lenses and with refrative surgeries."
"Minus number","This is known as myopia. It can be treated with glasses, contact lenses and with refrative surgeries."
"plus refractive error","This is known as hypermetropia, it can be treated with glasses, contact lenses and with refractive error surgeries"
"plus number","This is known as hypermetropia, it can be treated with glasses, contact lenses and with refractive error surgeries"
"Astigmatism","This is also known as cylindrical refractive error, it can be in both minus and plus forms. It can be treated with glasses, toric contact lenses and with refractive error surgeries."
"Presbyopia","When we get near number around the age of 40 years, it is known as Presbyopia. It can be treated with glasses and contact lenses."
"watering of the eye","Watering of the eyes can be due to dryness, change in refractive errors, digital eye strain or blocked tear glands"
"watery eyes","Watering of the eyes can be due to dryness, change in refractive errors, digital eye strain or blocked tear glands"
"itching of the eye","Itching of the eyes can be due to allergies or infections"
"Itchy eyes","Itching of the eyes can be due to allergies or infections"
"eye pain","Eye pain can be because of uncorrected refractive error, sinusitis, raised intra ocular pressure(IOP), eye fatigue"
"Painful eye","Eye pain can be because of uncorrected refractive error, sinusitis, raised intra ocular pressure(IOP), eye fatigue"
"Pain in the eye","Eye pain can be because of uncorrected refractive error, sinusitis, raised intra ocular pressure(IOP), eye fatigue"
"eye injury","In case of eye injury, visit your nearest ophthalmologist immediately"
"Injury in the eye","In case of eye injury, visit your nearest ophthalmologist immediately"
"Headache","Headache is not always eye related. It can be because of certain eye related things such as change in refractive errors, eye muscle inabilities to focus enough on near and far things."
"distorted images","Distorted images can be a retinal problem and need to be ruled out at hospital with dilated eye examination."
"What is an intraocular lens (IOL)","With intraocular simply meaning, inside the eye, an IOL is an artificial lens used to replace the natural lens of your eye. In cataract surgery, the surgeon will remove the cloudy lens affected by the cataracts and replace it with a clear IOL that should last you for the rest of your life. An IOL may also be implanted before cataracts emerge, to correct refractive errors."
"What is a trifocal lens","A trifocal lens is a type of IOL designed to improve vision at near, intermediate and far distances. This is different from monofocal or bifocal lenses, which correct vision at only one or two focal points. Because of this, trifocal lenses can be implanted to address vision problems such as presbyopia, with or without astigmatism."
"What are the benefits of a PanOptixÂ IOL","The PanOptix IOL is different from other IOLs, because it has been designed to provide optimal intermediate vision, on top of near and distance ranges. This is because other trifocal IOLs work best at an intermediate range of 80cm, whereas PanOptix IOL trifocal lens is optimised for 60 cm, which has been demonstrated to be a more natural working distance based on the average persons arm length. This can help patients perform daily intermediate tasks, like using a computer, with no glasses."
"Are there other kinds of IOL available to me","Yes, there are other types of IOL available and you should discuss the best option for you with your eye doctor."
"Can the PanOptix lens be used to address presbyopia","Yes. As the PanOptix Lens is designed to improve vision at all distances, it can mitigate presbyopia, a common condition that makes it difficult to see up close. Addressing presbyopia provides an opportunity to reduce or even eliminate your need to wear reading glasses."
"Can the PanOptix lens be used to correct astigmatism","Yes, the PanOptix Lens is available in a toric option to correct astigmatism. Toric lenses sharpen vision and clear the distortion caused by astigmatism. They may even help free you from glasses and contacts for distance vision. Discuss with your eye doctor whether this is the right choice for your vision goals. "
"How does the PanOptix IOL treat cataracts","During cataract surgery, an eye surgeon removes the cloudy natural lens from your eye(s) and replaces it with an artificial intraocular lens (IOL). Once the new lens is in place, your vision should be sharper and clearer within a few weeks and the IOL should last you for the rest of your life."
"What is SmILE","It is an acronym standing forÂ SmallÂ IincisionÂ LenticuleÂ Extraction (Â SmILEÂ )- is a minimally invasive and innovative procedure. Instead of the laser ablation of the cornea, only minimal amount is lasered to create a lenticule which is then extracted through a keyhole corneal incision (compare 2-4 mm to 20 mm used in LASIK)."
"What is ReLEx","It is an acronym standing for-Â RefractiveÂ LenticuleÂ Extraction (ReLEx)- is a novel refractive surgery and the most recent, advanced laser vision correction procedure in the world. Many surgeons believe that this All-femto laser vision correction is the technique of the future."
"What is the recovery time of this laser eye procedure","It is said that the actual recovery (physical tissue recovery) from Relex smile is quicker. This is because there is noÂ cutÂ orÂ flapÂ made. The small incision through which the lenticule is removedÂ heals very quickly, by end of the day or next. And as there is no risk of flap related issues, one can resume activities like swimming, outdoor sports etc within the first week itself post smile procedures. In LASIK such energetic activities are usually allowed after 15 days to a month.Â "
"How safe is the procedure","Very safe. The entire idea which conceptualized SmILE is based on how to make laser procedures that exist today, such as LASIK, even safer and more stable in the long term. This technique is not only effective and predictable but also provides a safety and stability that is superior to traditional LASIK. it is free from flap related complications possible with other forms of LASIK. The cornea is biomechanically more stable after ReLEx SmILE as the incision made on the cornea is 80% smaller than the flap cut made during conventional LASIK, minimizing the chances of late corneal thinning and ectasia and also dry eye."
"Can all refractive errors be corrected with ReLEx SMILE","ReLEx SmILE can correctÂ MyopiaÂ andÂ Astigmatism.Â Hypermetropia (Plus Power)Â andÂ PresbyopiaÂ cannot be corrected with this procedure."
"Why do we need SMILE when other procedures are doing fine","SmILE is FLAPLESS. No flap means</br>No complications</br>No weak cornea</br>Less Dry eye</br>No nerves are cut"
"Is there any age limit for SMILE ReLEx LASER treatment","It can be done above 18 yrs up to 40 years. However, eligibility has to be determined through a series of tests."
"Am I a suitable candidate for ReLEx SmILE","Most of the patients suitable for conventional LASIK can also be treated with ReLEx SmILE. You have to consult our ophthalmologist, Dr Anand Shroff for a detailed examination."
"Why do patients prefer SMILE","If there are any complications in LASIK, then 99% of them are due to flap. Since SmILE has no flap, there are no flap related complications."
"Why is smile said to be Ultra-gentle on the eyesÂ ","The opening needed to extract the lenticule is far smaller than the previous and older method [80% less than in LASIK] therefore the structure of the cornea remains more intact. The contact glass through which the laser beams pass, adapts to the curve of the cornea, making this procedureÂ painless."
"Is SMILE accurate","YES. It is not just highly accurate but also highly predictable. There is no tissue distortion. Comparison studies with LASIK show better results."
"What about Dry eye issues","As the number of corneal nerves affected during the procedure is far lower than that in LASIK, the resulting dry eye symptoms are significantly lesser or near zero in patients undergoing ReLEx SmILE."
"Which laser has more chances of ectasia","ReLEX SmILE was born to address the problem of ectasia which came from LASIK. So any laser eye surgery which has aÂ flap has higher chances of ectasia. Hence, SmILEÂ is safer with very veryÂ low chances of ectasia,Â near zero."
"my eyes are red","Redness in eye can be caused due to infection, allergies, inflammations like conjunctivitis, iritis, scleritis etc or due to simple dryness."
"my left eye is red","Redness in eye can be caused due to infection, allergies, inflammations like conjunctivitis, iritis, scleritis etc or due to simple dryness."
"my right eye is red","Redness in eye can be caused due to infection, allergies, inflammations like conjunctivitis, iritis, scleritis etc or due to simple dryness."
"there is redness in my eyes","Redness in eye can be caused due to infection, allergies, inflammations like conjunctivitis, iritis, scleritis etc or due to simple dryness."
"I have redness in my eyes","Redness in eye can be caused due to infection, allergies, inflammations like conjunctivitis, iritis, scleritis etc or due to simple dryness."
"I have minus number on my spectacles","This is known as myopia. It can be treated with glasses, contact lenses and with refrative surgeries."
"I have plus number on my spectacles","This is known as hypermetropia, it can be treated with glasses, contact lenses and with refractive error surgeries"
"I have watery eyes","Watering of the eyes can be due to dryness, change in refractive errors, digital eye strain or blocked tear glands"
"My right eye is watering","Watering of the eyes can be due to dryness, change in refractive errors, digital eye strain or blocked tear glands"
"my left eye is watering","Watering of the eyes can be due to dryness, change in refractive errors, digital eye strain or blocked tear glands"
"my eyes are watering","Watering of the eyes can be due to dryness, change in refractive errors, digital eye strain or blocked tear glands"
"I have pain in my eyes","Eye pain can be because of uncorrected refractive error, sinusitis, raised intra ocular pressure(IOP), eye fatigue"
"My eyes hurt","Eye pain can be because of uncorrected refractive error, sinusitis, raised intra ocular pressure(IOP), eye fatigue"
"My right eye is painful","Eye pain can be because of uncorrected refractive error, sinusitis, raised intra ocular pressure(IOP), eye fatigue"
"Painful left eye","Eye pain can be because of uncorrected refractive error, sinusitis, raised intra ocular pressure(IOP), eye fatigue"
"what is CVS","CVS is computer vision syndrome, which occurs in people with long term use of digital devices such as PC, laptops, tabs and mobiles etc. Blinking at regular intervals with proper sitting postures relives digital strain on eyes. Smallest refractive error also should be corrected while working on such devices. 20-20-20 rule is important: after every 20 minutes of digital use, look far away at around 20 feet for 20 seconds and blink 20 times."
"CVS","CVS is computer vision syndrome, which occurs in people with long term use of digital devices such as PC, laptops, tabs and mobiles etc. Blinking at regular intervals with proper sitting postures relives digital strain on eyes. Smallest refractive error also should be corrected while working on such devices. 20-20-20 rule is important: after every 20 minutes of digital use, look far away at around 20 feet for 20 seconds and blink 20 times."
"I have a headache","Headache is not always eye related. It can be because of certain eye related things such as change in refractive errors, eye muscle inabilities to focus enough on near and far things."
"I have a very bad headache","Headache is not always eye related. It can be because of certain eye related things such as change in refractive errors, eye muscle inabilities to focus enough on near and far things."
"The images I see are distorted","Distorted images can be a retinal problem and need to be ruled out at hospital with dilated eye examination."
"I see distorted images","Distorted images can be a retinal problem and need to be ruled out at hospital with dilated eye examination."
"What is robotic cataract surgery","In a Robotic Cataract Surgery, a femtosecond laser machine is docked on to the eye and images of the eye are caught by an imaging system attached to it. The incision of the cornea, the opening of the lens capsule and disintegration of the lens is done robotically."
"robotic cataract surgery","In a Robotic Cataract Surgery, a femtosecond laser machine is docked on to the eye and images of the eye are caught by an imaging system attached to it. The incision of the cornea, the opening of the lens capsule and disintegration of the lens is done robotically."
"what is femto cataract surgery","Femtolaser assisted cataract surgery ( FLACS) is a type of bladeless cataract surgery in which corneal incisions are made by the laser, the bag of the lens is also opened up with the help of the laser only and then the lens is fragmented into pieces by it which is then easily removed from the eye. It is comparatively more precise than manual cataract surgery."
"what is femtosecond laser cataract surgery","Femtolaser assisted cataract surgery ( FLACS) is a type of bladeless cataract surgery in which corneal incisions are made by the laser, the bag of the lens is also opened up with the help of the laser only and then the lens is fragmented into pieces by it which is then easily removed from the eye. It is comparatively more precise than manual cataract surgery."
"Contura LASIK","Contoura Vision is a highly advanced, precise and individualized LASIK treatment. The advanced technology offers surgeons a precise, detailed mapping of the cornea which allows for customized care for each eye of each patient. More than 22,000 unique elevation points on the cornea are analyzed and sent to the surgical planning computer, which directs the laser beam to correct the minute variations of curvature at each point."
"lensar","The LENSAR Laser System is the only femtosecond cataract laser built specifically for refractive cataract surgery. Because it was designed from the ground up, every aspect of the laser has been purposefully designed to meet the needs of cataract surgeons."
